yop_kodu,university,program,is_english,scholarship_pct,full_price_2024,full_price_2025,discounted_price_2024,discounted_price_2025
202490493,İSTANBUL AYDIN ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,620000.0,,0.0
202490509,İSTANBUL AYDIN ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,620000.0,,310000.0
210302397,İSTANBUL BEYKENT ÜNİVERSİTESİ,Grafik Tasarımı,True,100.0,,829630.0,,0.0
210302404,İSTANBUL BEYKENT ÜNİVERSİTESİ,Grafik Tasarımı,True,50.0,,829630.0,,414815.0
210302411,İSTANBUL BEYKENT ÜNİVERSİTESİ,Lojistik Yönetimi,True,100.0,,503704.0,,0.0
210302418,İSTANBUL BEYKENT ÜNİVERSİTESİ,Lojistik Yönetimi,True,50.0,,503704.0,,251852.0
210302362,İSTANBUL BEYKENT ÜNİVERSİTESİ,Psikoloji,True,100.0,,1274074.0,,0.0
210302369,İSTANBUL BEYKENT ÜNİVERSİTESİ,Psikoloji,True,50.0,,1274074.0,,637037.0
210302425,İSTANBUL BEYKENT ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,100.0,,948148.0,,0.0
210302432,İSTANBUL BEYKENT ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,50.0,,948148.0,,474074.0
202590302,İSTANBUL BİLGİ ÜNİVERSİTESİ,Spor Yöneticiliği,True,100.0,,960000.0,,0.0
202590309,İSTANBUL BİLGİ ÜNİVERSİTESİ,Spor Yöneticiliği,True,50.0,,960000.0,,480000.0
207590779,İSTANBUL ESENYURT ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,475000.0,,0.0
207590786,İSTANBUL ESENYURT ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,475000.0,,237500.0
209810332,İSTANBUL GALATA ÜNİVERSİTESİ,İşletme,True,100.0,,651100.0,,0.0
209810339,İSTANBUL GALATA ÜNİVERSİTESİ,İşletme,True,0.0,,651100.0,,651100.0
209810346,İSTANBUL GALATA ÜNİVERSİTESİ,İşletme,True,50.0,,651100.0,,325550.0
209810353,İSTANBUL GALATA ÜNİVERSİTESİ,Lojistik Yönetimi,False,100.0,,651100.0,,0.0
209810360,İSTANBUL GALATA ÜNİVERSİTESİ,Lojistik Yönetimi,False,0.0,,651100.0,,651100.0
209810367,İSTANBUL GALATA ÜNİVERSİTESİ,Lojistik Yönetimi,False,50.0,,651100.0,,325550.0
201790051,İSTANBUL GEDİK ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,500000.0,,0.0
201790069,İSTANBUL GEDİK ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,500000.0,,250000.0
202790084,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Grafik Tasarımı,False,100.0,,875264.0,,0.0
202790093,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Grafik Tasarımı,False,50.0,,875264.0,,437632.0
202791194,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,900000.0,,0.0
202791201,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,900000.0,,450000.0
202791166,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,100.0,,529000.0,,0.0
202791173,İSTANBUL GELİŞİM ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,50.0,,529000.0,,264500.0
208750838,İSTANBUL KENT ÜNİVERSİTESİ,Uluslararası Ticaret ve İşletmecilik,True,100.0,,500000.0,,0.0
208750845,İSTANBUL KENT ÜNİVERSİTESİ,Uluslararası Ticaret ve İşletmecilik,True,0.0,,500000.0,,500000.0
208750852,İSTANBUL KENT ÜNİVERSİTESİ,Uluslararası Ticaret ve İşletmecilik,True,50.0,,500000.0,,250000.0
203090354,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ekonomi,False,100.0,,895000.0,,0.0
203090361,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ekonomi,False,0.0,,895000.0,,895000.0
203090368,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ekonomi,False,50.0,,895000.0,,447500.0
203090375,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ekonomi,True,100.0,,895000.0,,0.0
203090382,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ekonomi,True,0.0,,895000.0,,895000.0
203090389,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ekonomi,True,50.0,,895000.0,,447500.0
203090396,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,True,100.0,,895000.0,,0.0
203090403,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,True,0.0,,895000.0,,895000.0
203090410,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,True,50.0,,895000.0,,447500.0
203090417,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,100.0,,895000.0,,0.0
203090424,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,0.0,,895000.0,,895000.0
203090431,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri,True,50.0,,895000.0,,447500.0
203190953,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Havacılık Yönetimi,True,100.0,,970000.0,,0.0
203190960,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Havacılık Yönetimi,True,50.0,,970000.0,,485000.0
210400717,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,909920.0,,454960.0
210403097,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,909920.0,,0.0
210403104,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Spor Yöneticiliği,False,0.0,,909920.0,,909920.0
204790920,İSTANBUL OKAN ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,False,100.0,,921690.0,,0.0
204790927,İSTANBUL OKAN ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,False,50.0,,921690.0,,460845.0
204790934,İSTANBUL OKAN ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,True,100.0,,921690.0,,0.0
