source_university,yop_kodu,year,program,tercih_sayisi
fsm,201490083,2025,Arap Dili Ve Edebiyatı,3
fsm,201490083,2025,Arapça Mütercim Ve Tercümanlık,6
fsm,201490083,2025,Arapça Öğretmenliği,36
fsm,201490083,2025,Beslenme Ve Diyetetik,1
fsm,201490083,2025,Dilbilimi,1
fsm,201490083,2025,İslami İlimler,3
fsm,201490083,2025,İç Mimarlık,2
fsm,201490083,2025,İç Mimarlık Ve Çevre Tasarımı,1
fsm,201490083,2025,Çocuk Gelişimi,1
fsm,201490082,2025,Alman Dili Ve Edebiyatı,3
fsm,201490082,2025,Arap Dili Ve Edebiyatı,7
fsm,201490082,2025,Arapça Mütercim Ve Tercümanlık,4
fsm,201490082,2025,Arapça Öğretmenliği,19
fsm,201490082,2025,Dilbilimi,1
fsm,201490082,2025,Fars Dili Ve Edebiyatı,1
fsm,201490082,2025,Fransız Dili Ve Edebiyatı,2
fsm,201490082,2025,Fransızca Mütercim Ve Tercümanlık,2
fsm,201490082,2025,Fransızca Öğretmenliği,3
fsm,201490082,2025,Gastronomi Ve Mutfak Sanatları,8
fsm,201490082,2025,İngiliz Dili Ve Edebiyatı,3
fsm,201490082,2025,İngilizce Mütercim Ve Tercümanlık,2
fsm,201490082,2025,İngilizce Öğretmenliği,7
fsm,201490082,2025,İspanyol Dili Ve Edebiyatı,2
fsm,201490082,2025,İtalyan Dili Ve Edebiyatı,1
fsm,201490082,2025,Japon Dili Ve Edebiyatı,2
fsm,201490082,2025,Kore Dili Ve Edebiyatı,1
fsm,201410189,2025,Aktüerya Bilimleri,3
fsm,201410189,2025,Beslenme Ve Diyetetik,1
fsm,201410189,2025,Bilgi Güvenliği Teknolojisi,2
fsm,201410189,2025,Bilgisayar Mühendisliği,245
fsm,201410189,2025,Bilgisayar Mühendisliği (m.t.o.k),1
fsm,201410189,2025,Bilişim Sistemleri Mühendisliği,1
fsm,201410189,2025,Bilişim Sistemleri Ve Teknolojileri,1
fsm,201410189,2025,Biyoloji,1
fsm,201410189,2025,Biyomedikal Mühendisliği,3
fsm,201410189,2025,Biyomühendislik,3
fsm,201410189,2025,Dijital Oyun Tasarımı,1
fsm,201410189,2025,Elektrik Mühendisliği,2
fsm,201410189,2025,Elektrik-elektronik Mühendisliği,49
fsm,201410189,2025,Elektronik Ve Haberleşme Mühendisliği,3
fsm,201410189,2025,Endüstri Mühendisliği,16
fsm,201410189,2025,Endüstriyel Tasarım,2
fsm,201410189,2025,Enerji Sistemleri Mühendisliği,7
fsm,201410189,2025,Fen Bilgisi Öğretmenliği,1
fsm,201410189,2025,Fizik,4
fsm,201410189,2025,Fizik Mühendisliği,1
fsm,201410189,2025,Fizyoterapi Ve Rehabilitasyon,4
fsm,201410189,2025,Gıda Mühendisliği,3
fsm,201410189,2025,Harita Mühendisliği,4
fsm,201410189,2025,Havacılık Ve Uzay Mühendisliği,1
fsm,201410189,2025,Hemşirelik,10
fsm,201410189,2025,İlköğretim Matematik Öğretmenliği,3
fsm,201410189,2025,İnşaat Mühendisliği,11
fsm,201410189,2025,İstatistik,6
fsm,201410189,2025,İç Mimarlık,2
fsm,201410189,2025,Jeofizik Mühendisliği,1
fsm,201410189,2025,Kimya,1
fsm,201410189,2025,Kimya Mühendisliği,3
fsm,201410189,2025,Kimya Öğretmenliği,1
fsm,201410189,2025,Makine Mühendisliği,15
fsm,201410189,2025,Malzeme Bilimi Ve Mühendisliği,1
fsm,201410189,2025,Matematik,4
fsm,201410189,2025,Mekatronik Mühendisliği,8
fsm,201410189,2025,Mekatronik Mühendisliği (m.t.o.k),1
fsm,201410189,2025,Metalurji Ve Malzeme Mühendisliği,4
fsm,201410189,2025,Mimarlık,6
fsm,201410189,2025,Moleküler Biyoloji Ve Genetik,1
fsm,201410189,2025,Mühendislik Ve Doğa Bilimleri Programları,1
fsm,201410189,2025,Siber Güvenlik Mühendisliği,7
fsm,201410189,2025,Veri Bilimi Ve Analitiği,6
fsm,201410189,2025,Yapay Zeka Mühendisliği,1
fsm,201410189,2025,Yapay Zeka Ve Makine Öğrenmesi,6
