source_university,yop_kodu,year,universite,tercih_sayisi,university_type
halic,201910015,2024,ANADOLU ÜNİVERSİTESİ,1,devlet
halic,201910015,2024,HALİÇ ÜNİVERSİTESİ,3,vakif
halic,201910024,2022,BOĞAZİÇİ ÜNİVERSİTESİ,8,devlet
halic,201910024,2022,BURSA TEKNİK ÜNİVERSİTESİ,1,devlet
halic,201910024,2022,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
halic,201910024,2022,EGE ÜNİVERSİTESİ,3,devlet
halic,201910024,2022,İSTANBUL ÜNİVERSİTESİ,29,devlet
halic,201910024,2022,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,3,devlet
halic,201910024,2022,KOCAELİ ÜNİVERSİTESİ,1,devlet
halic,201910024,2022,MARMARA ÜNİVERSİTESİ,9,devlet
halic,201910024,2022,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
halic,201910024,2022,TRAKYA ÜNİVERSİTESİ,1,devlet
halic,201910024,2022,YILDIZ TEKNİK ÜNİVERSİTESİ,7,devlet
halic,201910024,2022,BAHÇEŞEHİR ÜNİVERSİTESİ,1,vakif
halic,201910024,2022,BEYKENT ÜNİVERSİTESİ,3,vakif
halic,201910024,2022,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,1,vakif
halic,201910024,2022,HALİÇ ÜNİVERSİTESİ,19,vakif
halic,201910024,2022,İSTANBUL ATLAS ÜNİVERSİTESİ,4,vakif
halic,201910024,2022,İSTANBUL AYDIN ÜNİVERSİTESİ,5,vakif
halic,201910024,2022,İSTANBUL BİLGİ ÜNİVERSİTESİ,5,vakif
halic,201910024,2022,İSTANBUL GELİŞİM ÜNİVERSİTESİ,1,vakif
halic,201910024,2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,5,vakif
halic,201910024,2022,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,1,vakif
halic,201910024,2022,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,1,vakif
halic,201910024,2022,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,1,vakif
halic,201910024,2022,İSTİNYE ÜNİVERSİTESİ,5,vakif
halic,201910024,2022,MEF ÜNİVERSİTESİ,3,vakif
halic,201910024,2022,YEDİTEPE ÜNİVERSİTESİ,2,vakif
halic,201910024,2023,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,ANKARA ÜNİVERSİTESİ,2,devlet
halic,201910024,2023,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,BOĞAZİÇİ ÜNİVERSİTESİ,4,devlet
halic,201910024,2023,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,DOKUZ EYLÜL ÜNİVERSİTESİ,2,devlet
halic,201910024,2023,EGE ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,GAZİ ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,HACETTEPE ÜNİVERSİTESİ,6,devlet
halic,201910024,2023,İSTANBUL MEDENİYET ÜNİVERSİTESİ,2,devlet
halic,201910024,2023,İSTANBUL ÜNİVERSİTESİ,14,devlet
halic,201910024,2023,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,4,devlet
halic,201910024,2023,KIRKLARELİ ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,KOCAELİ ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,MARMARA ÜNİVERSİTESİ,8,devlet
halic,201910024,2023,MERSİN ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,TRAKYA ÜNİVERSİTESİ,1,devlet
halic,201910024,2023,YILDIZ TEKNİK ÜNİVERSİTESİ,4,devlet
halic,201910024,2023,ANKARA BİLİM ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,BAHÇEŞEHİR ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,ÇAĞ ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,ÇANKAYA ÜNİVERSİTESİ,2,vakif
halic,201910024,2023,DOĞUŞ ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,HALİÇ ÜNİVERSİTESİ,14,vakif
halic,201910024,2023,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,2,vakif
halic,201910024,2023,İSTANBUL AREL ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,İSTANBUL ATLAS ÜNİVERSİTESİ,4,vakif
halic,201910024,2023,İSTANBUL AYDIN ÜNİVERSİTESİ,3,vakif
halic,201910024,2023,İSTANBUL BEYKENT ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,İSTANBUL GELİŞİM ÜNİVERSİTESİ,3,vakif
halic,201910024,2023,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,4,vakif
halic,201910024,2023,İSTANBUL MEDİPOL ÜNİVERSİTESİ,1,vakif
halic,201910024,2023,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,5,vakif
halic,201910024,2023,İSTANBUL OKAN ÜNİVERSİTESİ,2,vakif
halic,201910024,2023,İSTANBUL TOPKAPI ÜNİVERSİTESİ,2,vakif
